item_id,title,hybrid_score,tfidf_normalized,sbert_normalized,review_normalized
EX124,Malaysia Batik Canting Workshop,0.969395782,0.943996308,0.9870254,0.952663699
EX127,Malaysian Batik Experience – Handkerchief,0.925943796,1,0.98642725,0.667043945
EX32,Cwoks Batik workshop,0.881453876,0.778670375,1,0.68393135
EX157,Pakmud Batik,0.866959558,0.947768688,0.96799165,0.488109816
EX10,Batik Coloring Workshop in Kuala Lumpur,0.818339286,0.78579905,0.89468664,0.649059375
EX133,Maskamal Batik & Trading,0.810803813,0.728095572,0.95578045,0.515503445
EX141,MyBatik Art Gallery,0.80378735,0.689005578,0.8759599,0.748790098
EX09,Batik Boutique Corporate Services and Workshop Studio,0.789320753,0.461108002,0.9780269,0.680644697
EX11,Batik House MY,0.788550666,0.530954021,0.9324584,0.714800141
EX69,Jadi Batek - Batik fashion gifts wholesaler retailer,0.774723554,0.612123868,0.8554917,0.755860751
EX12,Batik Wau Bulan (A Malaysian Heritage Kite) Making Workshop,0.750825287,0.671052797,0.84830886,0.582461087
EX145,Natural Batik Village,0.748453274,0.68864546,0.85607535,0.527252359
EX140,myBatik (by appointment),0.744624458,0.559876964,0.81167674,0.791164987
EX152,Oh Dayang,0.716990354,0.567454647,0.81780016,0.626683012
EX150,Nordin Batik Sdn. Bhd,0.713418332,0.55598949,0.9138726,0.358955119
EX04,Asrina Craft Enterprise,0.704038014,0.455135283,0.8234469,0.686791866
EX104,KT Kraf,0.684026005,0.449069692,0.88016075,0.438350804
EX73,Juliana Native Handwork & Bead Art Workshop,0.562742647,0.392453002,0.66114914,0.504986864
EX113,Lambo Sari,0.556379093,0.316127137,0.6605926,0.570106777
EX174,Pottery Workshop in George Town Penang,0.54748952,0.412882917,0.59505165,0.584951927
EX182,Royal Selangor Pewter Workshop (KL),0.500016239,0.195947317,0.57961893,0.661195019
EX112,Labu Sayong Xtream Craft Deco N Pottery,0.497491574,0,0.6753328,0.630292622
EX179,Rini Craft – Beg Kraftangan Anyaman,0.493852784,0.146309986,0.6355487,0.53861745
EX131,Mariwansa Kraftangan Sdn Bhd,0.489337674,0,0.71487516,0.4807816
EX185,Rustic Borneo Craft Ent,0.483479804,0,0.67595345,0.558526992
EX58,Hayat Creative Craft,0.480148192,0.160848044,0.6030419,0.541315627
EX172,Pottery Making at Win Kraf Labu Sayong,0.479813949,0.147655846,0.6195807,0.510653037
EX181,Ronna Creativa Rattan Craft,0.475121497,0,0.6829867,0.497394051
EX197,Step Into Batu Caves,0.459683085,0,0.5301343,0.840546016
EX173,Pottery Making Class in Kuala Lumpur,0.456383101,0.136217559,0.5226604,0.674327467
EX26,Cenderamata Kayu by Kayu Warisan,0.454211745,0.115484221,0.59263426,0.496959125
EX216,Traditional Nyonya Dessert Cooking Class in Melaka,0.447062461,0,0.48729363,0.895254751
EX94,Kek Lapis Warisan Sdn Bhd,0.442979441,0,0.5653117,0.660290053
EX226,Wooden Artwork KWM Craft,0.432807576,0,0.62741303,0.438651945
EX103,Kraftangan Kuala Kangsar No. C-1,0.429841514,0,0.59114814,0.523550191
EX146,Nazlina Spice Station,0.427103544,0.155775382,0.41551888,0.798121575
