item_id,title,tfidf_raw_score,tfidf_normalized
EX126,Malaysia Heritage Studios,0.211177102,1
EX123,Maklang Cafe by Ilham Ceramic Studio,0.176137719,0.834075842
EX32,Cwoks Batik workshop,0.155771155,0.73763279
EX141,MyBatik Art Gallery,0.143989061,0.681840312
EX210,The Art Attic,0.135620492,0.642212108
EX17,Bonita and Beads Sarawak,0.100984513,0.478198213
EX120,LoQSakri Agro Farm - Restaurant & Cafe,0.099523711,0.471280789
EX142,MyPintu Plate,0.095575766,0.452585839
EX163,Penang Street Art,0.094731323,0.448587096
EX226,Wooden Artwork KWM Craft,0.082033747,0.388459477
EX121,Mah Meri Cultural Village,0.081980231,0.388206059
EX52,Galeri Tenun Pahang,0.081398695,0.385452278
EX174,Pottery Workshop in George Town Penang,0.081116659,0.384116735
EX130,Maria Kek Lapis Sarawak,0.080363856,0.380551939
EX50,Fusion Wayang Kulit Gallery,0.079630319,0.377078375
EX92,Kek Lapis Mama Su (Bangi),0.068039984,0.322193946
EX172,Pottery Making at Win Kraf Labu Sayong,0.062353188,0.29526491
EX84,Kampung Laut Cultural Heritage Site,0.058713439,0.278029383
EX53,Galeri Terompah Mastor,0.057467486,0.272129343
EX231,Mari Mari Cultural Village,0.054080159,0.256089121
EX61,"Historical, Heritage & Cultural Walks George Town",0.05176864,0.245143245
EX145,Natural Batik Village,0.050062998,0.237066412
EX54,Galeri Wau Pak Sapie and Sons,0.049040299,0.232223562
EX167,Persembahan Barongan dan Kuda Kepang,0.048491191,0.229623337
EX140,myBatik (by appointment),0.048345216,0.228932094
EX224,Warisan Craft Wood,0.046887373,0.222028678
EX51,Galeri Tekatan Benang Emas,0.045093212,0.21353268
EX10,Batik Coloring Workshop in Kuala Lumpur,0.044476265,0.21061121
EX69,Jadi Batek - Batik fashion gifts wholesaler retailer,0.043792278,0.207372283
EX207,Tekat Benhafni,0.04332222,0.205146389
EX127,Malaysian Batik Experience – Handkerchief,0.043174857,0.204448574
EX230,Inakraf Wood Carving,0.042736923,0.202374794
EX188,Sahabat Gamelan (SAGA),0.042597661,0.20171534
EX124,Malaysia Batik Canting Workshop,0.042027847,0.199017063
EX173,Pottery Making Class in Kuala Lumpur,0.040142784,0.190090611
EX73,Juliana Native Handwork & Bead Art Workshop,0.038551457,0.182555102
EX85,Kampung Padi,0.037832766,0.179151836
EX118,Learning Traditional Dance,0.033889688,0.160479938
EX146,Nazlina Spice Station,0.033728251,0.159715472
EX18,Borneo Cultural Village,0.033683949,0.159505687
EX148,Nohutu Ecotourism,0.031813394,0.150647934
EX206,Tanjak Warisan Yusoff,0.031422176,0.148795373
EX102,Koisaan Cultural Village,0.029146973,0.138021464
EX216,Traditional Nyonya Dessert Cooking Class in Melaka,0.028732179,0.136057265
EX138,Monsopiad Heritage Village,0.028605406,0.135456948
EX81,Kampung Budaya Terengganu,0.028566768,0.135273983
EX35,Darau Wetland Eco Tourism,0.027727011,0.131297433
EX36,Dayak Bidayuh Traditional Costume,0.027352768,0.129525254
EX180,Rong Reng Miri Sarawak,0.026868314,0.12723119
EX77,Kalimi Wau Bulan,0.026212034,0.124123465
EX132,Masala Medley Cooking Class,0.025675565,0.121583094
EX225,Wau Fun Run,0.025410436,0.120327609
EX177,Pusat Pengembangan Tenun Pahang Diraja Kg. Soi,0.024274817,0.114950045
EX43,Experience Mountain Village Life 3D2N Tour,0.024259091,0.114875575
EX68,Ilham Ceramic Studio,0.024003456,0.113665051
EX197,Step Into Batu Caves,0.023590325,0.111708728
EX79,Kampung Bilit Homestay,0.020297108,0.096114152
EX113,Lambo Sari,0.020055952,0.09497219
EX125,Malaysia Games Festival @ Putrajaya 2025 (FPM@Putrajaya 2025),0.018991341,0.089930871
EX06,Azydar Enterprise,0.017709495,0.083860865
EX111,Labu Sayong Kraf Hanis,0.015987676,0.075707431
EX164,Perencah Mee Bandung Mak Pon,0.013918342,0.065908384
EX48,Festival Wayang Wong 2025,0,0
EX55,Gani Famous Pasembur,0,0
EX47,Festival Lentera Putrajaya,0,0
EX49,Floating Market Sri Tanjung Tumpat,0,0
EX56,Hami EcoFarm,0,0
EX59,Herbal Nasuha,0,0
EX60,Historical Malacca Day Tour from Kuala Lumpur (Private Tour),0,0
EX58,Hayat Creative Craft,0,0
EX57,Handicraft Market,0,0
EX39,Dodol Warisan Hajah Tijah (Uncle D) Dodol Melaka,0,0
EX38,D'Impian Agro Farm,0,0
EX37,Dev's Adventure Tour Sdn Bhd,0,0
EX34,Dapo Kueh by Norhayu Kitchen,0,0
EX33,Dapako Hill – Lingga Eco Tourism,0,0
EX29,Chillax Paddy Field Sunset Biking,0,0
EX30,Choley Kampung Warna Warni Kuala Perlis,0,0
EX31,Cozy Leisure Farm (Bertam Valley),0,0
EX27,Che Minah Songket,0,0
EX26,Cenderamata Kayu by Kayu Warisan,0,0
EX25,Cencol Sagu Rumbia,0,0
EX28,Chew Jetty,0,0
EX24,Cameron Highlands Day Tour from Ipoh with Mossy Forest,0,0
EX21,Bot Ronda Murah Tasik Santuari Hopping,0,0
EX22,Botanical Gardens Penang,0,0
EX23,Busana & Tanjak Pengiran,0,0
EX11,Batik House MY,0,0
EX07,Baba Nyonya Heritage Museum,0,0
EX04,Asrina Craft Enterprise,0,0
EX05,Azahari Boat Services,0,0
EX01,A’moss,0,0
EX02,Air Terjun Takah Pengkoi,0,0
EX12,Batik Wau Bulan (A Malaysian Heritage Kite) Making Workshop,0,0
EX03,Annah Rais Longhouse Visit,0,0
EX15,Bekang Tradisional Hujung Tanjung (Pok Weil),0,0
EX14,BeadStory & Crafts,0,0
EX16,Biking through Malay Countryside,0,0
EX19,Borneo Happy Farm,0,0
EX20,Borneo Tree House,0,0
EX13,Bazar Kuih Tradisional Gong Kapas,0,0
EX09,Batik Boutique Corporate Services and Workshop Studio,0,0
