item_id,avg_sentiment,review_count,weight,final_review_score
EX01,0.63074023,87,4.477336814,2.824036452
EX02,0.534747778,90,4.510859507,2.412172097
EX03,0.53145,30,3.433987204,1.8249925
EX04,0.664368852,122,4.812184355,3.197065398
EX06,0.401976923,52,3.970291914,1.595965727
EX07,0.803693023,43,3.784189634,3.041326807
EX08,0.961316667,6,1.945910149,1.870635858
EX09,0.847707317,41,3.737669618,3.168449884
EX10,0.708807143,70,4.262679877,3.021417945
EX100,0.336893939,33,3.526360525,1.188009489
EX101,0.770805,60,4.110873864,3.168682129
EX102,0.631374699,83,4.430816799,2.797505622
EX103,0.61385,52,3.970291914,2.437163691
EX104,0.513955769,52,3.970291914,2.040554435
EX105,0.726241748,103,4.644390899,3.372950563
EX106,0.319053947,152,5.030437921,1.604981076
EX107,0.441183673,49,3.912023005,1.72592068
EX108,0.360926316,38,3.663561646,1.322275808
EX109,0.576542857,35,3.583518938,2.066052247
EX11,0.682525385,130,4.875197323,3.327445928
EX110,0.624042308,52,3.970291914,2.477630128
EX111,0.354695833,24,3.218875825,1.141721843
EX112,0.688312857,70,4.262679877,2.934057365
EX113,0.674976,50,3.931825633,2.653887938
EX114,0.859742636,129,4.86753445,4.184826898
EX115,0.55386129,124,4.828313737,2.674216077
EX116,0.864929167,144,4.976733742,4.304522169
EX117,0.544547059,51,3.951243719,2.151638146
EX119,0.631308696,46,3.850147602,2.430631661
EX12,0.750888889,36,3.610917913,2.711398139
EX120,0.635244068,59,4.094344562,2.600908095
EX121,0.624402326,43,3.784189634,2.362856808
EX122,0.629564,50,3.931825633,2.475335873
EX123,0.663312766,47,3.871201011,2.56781705
EX124,0.828631429,210,5.351858133,4.434717851
EX125,0.76134878,41,3.737669618,2.845670206
EX126,0.734039063,64,4.17438727,3.064163318
EX127,0.830768293,41,3.737669618,3.105137407
EX128,0.393332558,43,3.784189634,1.488444989
EX129,0.652955102,49,3.912023005,2.554375381
EX13,0.3960125,120,4.795790546,1.899193003
EX130,0.579935135,37,3.63758616,2.109564021
EX131,0.546625424,59,4.094344562,2.238072831
EX132,0.787433803,71,4.276666119,3.367591465
EX133,0.604415385,52,3.970291914,2.399705514
EX134,0.499213333,30,3.433987204,1.714292199
EX135,0.558545283,53,3.988984047,2.228028223
EX136,0.45947875,80,4.394449155,2.019156005
EX137,0.85135,20,3.044522438,2.591954177
EX138,0.869526563,64,4.17438727,3.629740613
EX139,0.683501923,104,4.65396035,3.180990849
EX14,0.610758696,46,3.850147602,2.351511127
EX140,0.754265649,131,4.882801923,3.68292976
EX141,0.847915,60,4.110873864,3.485671613
EX142,0.822024731,93,4.543294782,3.734700672
EX143,0.679788571,35,3.583518938,2.43603522
EX144,0.572778846,104,4.65396035,2.665690039
EX145,0.644763636,44,3.80666249,2.454397549
EX146,0.7859125,112,4.727387819,3.715313179
EX147,0.266882927,41,3.737669618,0.997520207
EX148,0.563106098,82,4.418840608,2.48827609
EX149,0.643914019,107,4.682131227,3.014889934
EX15,0.425458696,46,3.850147602,1.638078777
EX150,0.38024375,80,4.394449155,1.670961826
EX151,0.732514876,121,4.804021045,3.51901688
EX152,0.633473737,99,4.605170186,2.917254369
EX153,0.492121519,79,4.382026635,2.156489604
EX154,0.658494118,51,3.951243719,2.601870746
EX155,0.692968675,83,4.430816799,3.070417245
EX156,0.548614286,182,5.209486153,2.857998525
EX157,0.61186,40,3.713572067,2.272186205
EX158,0.590008571,35,3.583518938,2.11430689
EX159,0.674743478,46,3.850147602,2.597861985
EX16,0.821268539,89,4.49980967,3.695552115
EX160,0.363314815,81,4.406719247,1.601026387
EX161,0.49375873,63,4.158883083,2.05348483
EX162,0.592575962,104,4.65396035,2.757825029
EX163,0.626373387,124,4.828313737,3.02432723
EX164,0.297740625,32,3.496507561,1.041052347
EX165,0.565158025,81,4.406719247,2.490492745
EX166,0.801855,20,3.044522438,2.441265539
EX167,0.205940426,47,3.871201011,0.797236784
EX168,0.689273171,41,3.737669618,2.576275389
EX169,0.192966667,15,2.772588722,0.535017204
EX17,0.765545,20,3.044522438,2.33071893
EX170,0.404300962,104,4.65396035,1.881600645
EX171,0.459953333,75,4.33073334,1.991935236
EX172,0.578253333,60,4.110873864,2.377126515
EX173,0.763595,60,4.110873864,3.139042728
EX174,0.759865714,35,3.583518938,2.722993178
EX175,0.429671875,32,3.496507561,1.50235096
EX176,0.780073333,30,3.433987204,2.678761845
EX177,0.462782759,29,3.401197382,1.574015507
EX178,0.538321687,83,4.430816799,2.385204773
