Title,Username,Review,clean_review,translated_review,final_review
A’moss,AIN NADIAH,We have our Anniversary Trip here for 2D 1N.The scenery is Amazing as advertise. …,we have our anniversary trip here for d nthe scenery is amazing as advertise …,we have our anniversary trip here for d nthe scenery is amazing as advertise …,we have our anniversary trip here for d nthe scenery is amazing as advertise …
A’moss,Nur Suhaira,"An Unforgettable Escape - Homely, Breathtaking, and Truly Restful.​Our stay at Amoss Farmstay - Diamond Dome 1 was made absolutely perfect, and we have to give a special shout-out to Hassan. He was an incredible host who took …",an unforgettable escape homely breathtaking and truly restful​our stay at amoss farmstay diamond dome was made absolutely perfect and we have to give a special shoutout to hassan he was an incredible host who took …,an unforgettable escape homely breathtaking and truly restful​our stay at amoss farmstay diamond dome was made absolutely perfect and we have to give a special shoutout to hassan he was an incredible host who took …,an unforgettable escape homely breathtaking and truly restful​our stay at amoss farmstay diamond dome was made absolutely perfect and we have to give a special shoutout to hassan he was an incredible host who took …
A’moss,Atiq Safian,"If you’re looking for a peaceful escape to relax and recharge, this place is perfect. Surrounded by nature, it’s calm, quiet, and truly refreshing. …",if you’re looking for a peaceful escape to relax and recharge this place is perfect surrounded by nature it’s calm quiet and truly refreshing …,if you’re looking for a peaceful escape to relax and recharge this place is perfect surrounded by nature it’s calm quiet and truly refreshing …,if you’re looking for a peaceful escape to relax and recharge this place is perfect surrounded by nature it’s calm quiet and truly refreshing …
A’moss,Scott Tian,"Have a lovely stayed on 3/1 on my birthday .. The moment we arrived until we check out , the service is really exceptional and top notch . The surroundings are simply breathtaking .. Atmosphere was cooling and peaceful. The view of the …",have a lovely stayed on on my birthday the moment we arrived until we check out the service is really exceptional and top notch the surroundings are simply breathtaking atmosphere was cooling and peaceful the view of the …,have a lovely stayed on on my birthday the moment we arrived until we check out the service is really exceptional and top notch the surroundings are simply breathtaking atmosphere was cooling and peaceful the view of the …,have a lovely stayed on on my birthday the moment we arrived until we check out the service is really exceptional and top notch the surroundings are simply breathtaking atmosphere was cooling and peaceful the view of the …
A’moss,Alfie Solomons,I’ve finally made my way to this elusive glampsite after reading bout it a few years ago!It kind of ticked all the boxes for what I wanted to experience: a location I …,i’ve finally made my way to this elusive glampsite after reading bout it a few years agoit kind of ticked all the boxes for what i wanted to experience a location i …,i’ve finally made my way to this elusive glampsite after reading bout it a few years agoit kind of ticked all the boxes for what i wanted to experience a location i …,i’ve finally made my way to this elusive glampsite after reading bout it a few years agoit kind of ticked all the boxes for what i wanted to experience a location i …
A’moss,Alina Liu,"This is place is magical! By magical, I don’t just mean the view and the amenities for glamping, but the people there! The owner and his employees went above and beyond, to accommodate every possible thing that we could ask for while …",this is place is magical by magical i don’t just mean the view and the amenities for glamping but the people there the owner and his employees went above and beyond to accommodate every possible thing that we could ask for while …,this is place is magical by magical i don’t just mean the view and the amenities for glamping but the people there the owner and his employees went above and beyond to accommodate every possible thing that we could ask for while …,this is place is magical by magical i don’t just mean the view and the amenities for glamping but the people there the owner and his employees went above and beyond to accommodate every possible thing that we could ask for while …
A’moss,Coffee,"During my one-night stay in this place, I had the pleasure of enjoying the beautiful and natural scenery views. The temperature breeze was delightfully cool, creating a soothing atmosphere. …",during my onenight stay in this place i had the pleasure of enjoying the beautiful and natural scenery views the temperature breeze was delightfully cool creating a soothing atmosphere …,during my onenight stay in this place i had the pleasure of enjoying the beautiful and natural scenery views the temperature breeze was delightfully cool creating a soothing atmosphere …,during my onenight stay in this place i had the pleasure of enjoying the beautiful and natural scenery views the temperature breeze was delightfully cool creating a soothing atmosphere …
A’moss,Piraveena Sukumaran,The place is quite nice and very Instagramable. The decoration are modern and it's comfortably quite. It's really feels like back to nature life. The bed sheets are fine but the blanket feels like it hasn't been washed. …,the place is quite nice and very instagramable the decoration are modern and its comfortably quite its really feels like back to nature life the bed sheets are fine but the blanket feels like it hasnt been washed …,the place is quite nice and very instagramable the decoration are modern and its comfortably quite its really feels like back to nature life the bed sheets are fine but the blanket feels like it hasnt been washed …,the place is quite nice and very instagramable the decoration are modern and its comfortably quite its really feels like back to nature life the bed sheets are fine but the blanket feels like it hasnt been washed …
A’moss,Elli LIH,A great place for glamping lovers. The accommodation design is unique and simple. Suitable for those who like fresh nature. The room and bathroom are clean and comfortable. Those who want something different are encouraged to try this best …,a great place for glamping lovers the accommodation design is unique and simple suitable for those who like fresh nature the room and bathroom are clean and comfortable those who want something different are encouraged to try this best …,a great place for glamping lovers the accommodation design is unique and simple suitable for those who like fresh nature the room and bathroom are clean and comfortable those who want something different are encouraged to try this best …,a great place for glamping lovers the accommodation design is unique and simple suitable for those who like fresh nature the room and bathroom are clean and comfortable those who want something different are encouraged to try this best …
A’moss,Boon Ho Chew,Overall experience here is very chill and very me time.. suitable for couples and solo traveller. This place is very windy and cooling and extremely quiet when come to midnight due to farm area and quite far distance from main road.  A very …,overall experience here is very chill and very me time suitable for couples and solo traveller this place is very windy and cooling and extremely quiet when come to midnight due to farm area and quite far distance from main road a very …,overall experience here is very chill and very me time suitable for couples and solo traveller this place is very windy and cooling and extremely quiet when come to midnight due to farm area and quite far distance from main road a very …,overall experience here is very chill and very me time suitable for couples and solo traveller this place is very windy and cooling and extremely quiet when come to midnight due to farm area and quite far distance from main road a very …
A’moss,m sfn,"I would love to visit again,But it’s a lil hard to get in cuz it’s one way as u go deeper inside …",i would love to visit againbut it’s a lil hard to get in cuz it’s one way as u go deeper inside …,i would love to visit againbut it’s a lil hard to get in cuz it’s one way as u go deeper inside …,i would love to visit againbut it’s a lil hard to get in cuz it’s one way as u go deeper inside …
A’moss,Steph Lee,"Getting up here was a wild ride—literally! Twisty, narrow mountain roads had us gripping our seats and grinning from ear to ear. My teen called it a rollercoaster ride with IG-worthy views. …",getting up here was a wild ride—literally twisty narrow mountain roads had us gripping our seats and grinning from ear to ear my teen called it a rollercoaster ride with igworthy views …,getting up here was a wild ride—literally twisty narrow mountain roads had us gripping our seats and grinning from ear to ear my teen called it a rollercoaster ride with igworthy views …,getting up here was a wild ride—literally twisty narrow mountain roads had us gripping our seats and grinning from ear to ear my teen called it a rollercoaster ride with igworthy views …
A’moss,Jivina Mohhan,"The diamond dome is so spacious for 4 people to stay, it just cannot cook. The room on the top is so glam, love it so much.The crystal dome is lovely. Small but cozy. …",the diamond dome is so spacious for people to stay it just cannot cook the room on the top is so glam love it so muchthe crystal dome is lovely small but cozy …,the diamond dome is so spacious for people to stay it just cannot cook the room on the top is so glam love it so muchthe crystal dome is lovely small but cozy …,the diamond dome is so spacious for people to stay it just cannot cook the room on the top is so glam love it so muchthe crystal dome is lovely small but cozy …
A’moss,nami ka,"I would give it 4.7 stars if I could. Before booking, I read older Google reviews and was a bit nervous to see conflicting comments. …",i would give it stars if i could before booking i read older google reviews and was a bit nervous to see conflicting comments …,i would give it stars if i could before booking i read older google reviews and was a bit nervous to see conflicting comments …,i would give it stars if i could before booking i read older google reviews and was a bit nervous to see conflicting comments …
A’moss,Sivaneshwary Ramachandran,"Pengalaman yang menarik untuk anda cuba. Bagi sesiapa yang sukakan keindahan alam, sesuai ke sini. Cuma kurang dr segi service, sabun je disediakan, ubat gigi, berus, syampu kena bawa sendiri. Air mineral pun tak disediakan di pantri, kena …",pengalaman yang menarik untuk anda cuba bagi sesiapa yang sukakan keindahan alam sesuai ke sini cuma kurang dr segi service sabun je disediakan ubat gigi berus syampu kena bawa sendiri air mineral pun tak disediakan di pantri kena …,"It's an interesting experience for you to try for anyone who likes the beauty of nature, it's suitable here, it's just lacking in terms of soap service, toothpaste, shampoo, brush, you have to bring your own, mineral water is not provided in the pantry, you have to...","It's an interesting experience for you to try for anyone who likes the beauty of nature, it's suitable here, it's just lacking in terms of soap service, toothpaste, shampoo, brush, you have to bring your own, mineral water is not provided in the pantry, you have to..."
A’moss,Suffi Liyana,Will come again soon! Very beautiful place in the middle of the farm. This place calm and peaceful. Fresh air and all the facilities are very good. The owner and the staff really kind. You will fall in love with this place. Highly recommend …,will come again soon very beautiful place in the middle of the farm this place calm and peaceful fresh air and all the facilities are very good the owner and the staff really kind you will fall in love with this place highly recommend …,will come again soon very beautiful place in the middle of the farm this place calm and peaceful fresh air and all the facilities are very good the owner and the staff really kind you will fall in love with this place highly recommend …,will come again soon very beautiful place in the middle of the farm this place calm and peaceful fresh air and all the facilities are very good the owner and the staff really kind you will fall in love with this place highly recommend …
