Title,Username,final_review,compound,sentiment,adjectives_only
A’moss,AIN NADIAH,we have our anniversary trip here for d nthe scenery is amazing as advertise …,0.5859,Positive,anniversary amazing
A’moss,Nur Suhaira,an unforgettable escape homely breathtaking and truly restful​our stay at amoss farmstay diamond dome was made absolutely perfect and we have to give a special shoutout to hassan he was an incredible host who took …,0.9402,Positive,unforgettable restful​our farmstay perfect special incredible
A’moss,Atiq Safian,if you’re looking for a peaceful escape to relax and recharge this place is perfect surrounded by nature it’s calm quiet and truly refreshing …,0.9403,Positive,peaceful nature calm quiet
A’moss,Scott Tian,have a lovely stayed on on my birthday the moment we arrived until we check out the service is really exceptional and top notch the surroundings are simply breathtaking atmosphere was cooling and peaceful the view of the …,0.9014,Positive,birthday exceptional top peaceful
A’moss,Alfie Solomons,i’ve finally made my way to this elusive glampsite after reading bout it a few years agoit kind of ticked all the boxes for what i wanted to experience a location i …,-0.4754,Negative,elusive
A’moss,Alina Liu,this is place is magical by magical i don’t just mean the view and the amenities for glamping but the people there the owner and his employees went above and beyond to accommodate every possible thing that we could ask for while …,0.0,Neutral,magical magical possible
A’moss,Coffee,during my onenight stay in this place i had the pleasure of enjoying the beautiful and natural scenery views the temperature breeze was delightfully cool creating a soothing atmosphere …,0.9719,Positive,onenight beautiful natural cool
A’moss,Piraveena Sukumaran,the place is quite nice and very instagramable the decoration are modern and its comfortably quite its really feels like back to nature life the bed sheets are fine but the blanket feels like it hasnt been washed …,0.8361,Positive,nice instagramable back nature fine
A’moss,Elli LIH,a great place for glamping lovers the accommodation design is unique and simple suitable for those who like fresh nature the room and bathroom are clean and comfortable those who want something different are encouraged to try this best …,0.9779,Positive,great unique simple suitable fresh clean comfortable different best
A’moss,Boon Ho Chew,overall experience here is very chill and very me time suitable for couples and solo traveller this place is very windy and cooling and extremely quiet when come to midnight due to farm area and quite far distance from main road a very …,0.0,Neutral,overall suitable quiet come due main
A’moss,m sfn,i would love to visit againbut it’s a lil hard to get in cuz it’s one way as u go deeper inside …,0.5859,Positive,hard
A’moss,Steph Lee,getting up here was a wild ride—literally twisty narrow mountain roads had us gripping our seats and grinning from ear to ear my teen called it a rollercoaster ride with igworthy views …,0.3612,Positive,wild twisty narrow ear igworthy
A’moss,Jivina Mohhan,the diamond dome is so spacious for people to stay it just cannot cook the room on the top is so glam love it so muchthe crystal dome is lovely small but cozy …,0.7383,Positive,spacious cook crystal small
A’moss,nami ka,i would give it stars if i could before booking i read older google reviews and was a bit nervous to see conflicting comments …,-0.5859,Negative,older nervous
